date,pm25_mean,at_c_mean,rh_percent_mean,ws_m_s_mean,wind_east_west_mean,wind_north_south_mean,rainfall_rate_mm_mean,sr_w_mt2_mean,surface_pressure_hpa_mean,boundary_layer_height_m_mean
01/01/2023,130.5,11.90458333,85.614125,1.459900199,0.853916662,-0.389374999,0,161.5488747,994.2441203,288.0598678
02/01/2023,NA,12.24579155,84.40304167,0.914505731,0.209583331,0.249208332,1.21E-04,150.649708,995.2512538,284.7067962
03/01/2023,211.1770833,10.25458336,87.621375,1.441257557,1.099499997,-0.86004166,1.79E-04,154.4837063,996.0930862,269.9397532
04/01/2023,146.75,9.538208346,88.47841667,2.068646107,1.442041675,-1.420625004,0,168.9585839,996.5214539,217.5012509
05/01/2023,154.8804348,8.230041662,92.81041667,2.028575866,1.499625,-1.174583329,1.63E-04,129.6385412,997.5461222,156.4948331
06/01/2023,188.3333333,7.637458345,89.95408333,1.810465894,1.175041653,-1.150166676,0.001491667,122.5259583,998.0246277,137.2880417
07/01/2023,185.3333333,7.676208357,89.81666667,2.226973807,1.758291674,-1.175791686,8.33E-05,145.0837065,995.9380468,154.7562067
08/01/2023,182.78125,9.53883336,88.56995833,2.413185935,1.904500002,-1.090958335,0,167.7318323,993.2915827,156.8390406
09/01/2023,226.2631579,10.11770829,89.08375,1.611487059,1.144541668,-1.096625004,7.79E-04,140.2400026,994.1454519,113.1270822
10/01/2023,180.7916667,11.23358321,85.66133333,2.238475838,1.760291671,-1.306166661,0,167.308875,993.0907542,167.0192056
11/01/2023,146.5416667,11.40200003,90.62104167,2.007945035,-0.187083329,-0.405125001,0.0169875,125.4169568,988.8628744,164.4199578
12/01/2023,204.5416667,14.28479163,84.48166667,3.37040876,-2.746625011,1.522833338,0.067270833,122.7140407,986.426295,327.8678328
13/01/2023,221.0833333,14.67137496,89.04341667,2.424766661,-1.273166673,0.219416669,0.283095834,117.2658736,987.3568751,241.0098769
14/01/2023,154.2083333,12.80399994,83.420875,3.296577641,2.818916681,-1.661375001,3.38E-04,165.8837081,990.3432821,363.1235814
